iter	MultiClass
0	1.764279101
1	1.736982312
2	1.70996985
3	1.674727742
4	1.649938111
5	1.615897862
6	1.595366044
7	1.573863915
8	1.556811535
9	1.533545102
10	1.511361313
11	1.502379967
12	1.484196382
13	1.464381265
14	1.448938757
15	1.429621059
16	1.413387989
17	1.395106024
18	1.381836384
19	1.366772761
20	1.34895691
21	1.333438333
22	1.316745689
23	1.305634824
24	1.289691361
25	1.274536563
26	1.258148854
27	1.244894253
28	1.227477393
29	1.222044413
30	1.210636918
31	1.19601301
32	1.182062899
33	1.172064665
34	1.164789838
35	1.152700537
36	1.142891902
37	1.133775858
38	1.124157849
39	1.109422028
40	1.095475604
41	1.082537289
42	1.079581136
43	1.070429715
44	1.062855821
45	1.055149316
46	1.045861351
47	1.039
48	1.029140786
49	1.022116876
50	1.015377037
51	1.009419615
52	1.0047047
53	0.9975638166
54	0.9919927502
55	0.9816411857
56	0.9717836487
57	0.9649574682
58	0.9601405782
59	0.9544963391
60	0.9512181845
61	0.9410111821
62	0.9355346346
63	0.9306693521
64	0.9224748199
65	0.9167183131
66	0.9081564654
67	0.900027943
68	0.8936021669
69	0.8888757822
70	0.8824090617
71	0.877007348
72	0.8713342083
73	0.8664938806
74	0.8622341481
75	0.8590442158
76	0.8552747809
77	0.8523162365
78	0.848020181
79	0.8429678325
80	0.8381436834
81	0.8325951067
82	0.8280311673
83	0.8237455923
84	0.8173569271
85	0.811541403
86	0.8041248707
87	0.8005022801
88	0.7962480747
89	0.7901781677
90	0.7873668219
91	0.7825076531
92	0.7784377904
93	0.7741157946
94	0.7707997344
95	0.7671478176
96	0.7610614732
97	0.7571350332
98	0.751825484
99	0.7489641595
100	0.7446042373
101	0.7387693994
102	0.7339705799
103	0.7309007136
104	0.7263869984
105	0.7220713579
106	0.7185797147
107	0.7154196732
108	0.7113668509
109	0.7062679247
110	0.7002661881
111	0.6954040843
112	0.6907869744
113	0.6855805852
114	0.6814138908
115	0.6782293849
116	0.6751112877
117	0.6710193061
118	0.6660831872
119	0.6627931252
120	0.6590378468
121	0.6533433265
122	0.6503471546
123	0.6468163371
124	0.6433140721
125	0.6404901157
126	0.6361211369
127	0.6337253217
128	0.6290058641
129	0.6233584927
130	0.6184712414
131	0.6150225456
132	0.6120804359
133	0.6079337848
134	0.6056590513
135	0.6012364309
136	0.5977344078
137	0.5940580422
138	0.591007594
139	0.5875604934
140	0.5848861198
141	0.5814747975
142	0.5779973484
143	0.5753041907
144	0.5730702811
145	0.5705275932
146	0.567357104
147	0.5631138522
148	0.5582277575
149	0.5553345231
150	0.5523827
151	0.5476258236
152	0.5450335671
153	0.5417259064
154	0.5371083871
155	0.5348999148
156	0.5324608876
157	0.5297758787
158	0.5254572328
159	0.523363455
160	0.5214165663
161	0.5192430768
162	0.5161978544
163	0.5127953107
164	0.5103004221
165	0.5081954698
166	0.5066269098
167	0.5026659446
168	0.4990283169
169	0.4949184211
170	0.4928344543
171	0.4905096017
172	0.4885123702
173	0.4850781773
174	0.4829628188
175	0.4808881493
176	0.4788101142
177	0.4773076772
178	0.4753796526
179	0.4721807152
180	0.4706758366
181	0.4686335357
182	0.4667163964
183	0.4650755676
184	0.4635543193
185	0.4612976991
186	0.4601816541
187	0.4573885209
188	0.4549986528
189	0.4529734501
190	0.4502038728
191	0.4480496621
192	0.4462463671
193	0.4445131166
194	0.4422887595
195	0.4410359875
196	0.4392901523
197	0.436610123
198	0.433969404
199	0.4312864955
200	0.4300835592
201	0.4286157471
202	0.4266668198
203	0.4248920542
204	0.4218944071
205	0.4202512212
206	0.418398953
207	0.4170010324
208	0.4156968876
209	0.4142661817
210	0.4122378935
211	0.410252481
212	0.4086977344
213	0.406807794
214	0.4057421809
215	0.4044223847
216	0.4030030814
217	0.3997447435
218	0.3965560482
219	0.3952944066
220	0.3934141512
221	0.3914862582
222	0.3902587863
223	0.3871066135
224	0.3856585935
225	0.3848004292
226	0.3840250328
227	0.3821912898
228	0.3801187505
229	0.3791634793
230	0.3759302806
231	0.3747010293
232	0.3727033361
233	0.3718513912
234	0.3700873017
235	0.3689332183
236	0.3680282662
237	0.3654700174
238	0.3642137951
239	0.3632852096
240	0.3623640859
241	0.3614670235
242	0.359769048
243	0.3586793996
244	0.3576708508
245	0.3553164695
246	0.3542601333
247	0.3530715724
248	0.351392102
249	0.3498302893
250	0.349144923
251	0.3468676894
252	0.3459526422
253	0.3453234959
254	0.3446726085
255	0.3440229306
256	0.3431629183
257	0.3421290099
258	0.3411971283
259	0.3401379539
260	0.3384110247
261	0.3374878755
262	0.3364109834
263	0.3354773037
264	0.3335818671
265	0.3328322369
266	0.3318499257
267	0.3313160427
268	0.3296170352
269	0.3291162064
270	0.3285014737
271	0.3280517429
272	0.3270365667
273	0.3255604822
274	0.3245653726
275	0.322434049
276	0.3216834242
277	0.319386533
278	0.3172076186
279	0.3157736306
280	0.3147987496
281	0.3138491211
282	0.3125719387
283	0.3122270036
284	0.3117412456
285	0.3109233813
286	0.3103759652
287	0.3096538734
288	0.3084367502
289	0.3072752239
290	0.306572255
291	0.3062389799
292	0.3057917311
293	0.3045379424
294	0.3037491922
295	0.3027927221
296	0.3018340975
297	0.3014279535
298	0.3006296479
299	0.2999657666
