iter	Passed	Remaining
0	57	17090
1	58	8650
2	58	5812
3	59	4396
4	59	3537
5	60	2968
6	61	2561
7	61	2253
8	62	2012
9	62	1822
10	63	1664
11	63	1531
12	64	1419
13	64	1326
14	65	1243
15	66	1173
16	66	1112
17	67	1057
18	67	1003
19	68	958
20	68	915
21	69	877
22	69	842
23	70	811
24	70	780
25	71	752
26	71	726
27	72	702
28	72	680
29	73	660
30	74	642
31	74	624
32	75	608
33	75	591
34	76	576
35	76	561
36	77	547
37	77	534
38	77	521
39	78	509
40	78	498
41	79	488
42	79	476
43	80	467
44	80	457
45	81	448
46	81	440
47	82	432
48	82	424
49	83	418
50	84	410
51	84	403
52	85	396
53	85	390
54	86	383
55	86	377
56	87	371
57	87	365
58	88	359
59	88	354
60	89	349
61	89	345
62	90	340
63	90	335
64	91	330
65	91	325
66	92	321
67	92	316
68	93	312
69	93	308
70	94	303
71	94	299
72	95	295
73	95	291
74	96	288
75	96	284
76	97	280
77	97	277
78	98	274
79	98	271
80	98	267
81	99	264
82	100	261
83	100	258
84	101	255
85	101	253
86	102	250
87	102	247
88	103	244
89	103	242
90	104	239
91	104	236
92	105	234
93	106	232
94	106	230
95	107	227
96	107	225
97	108	222
98	108	220
99	109	218
100	109	215
101	110	213
102	110	211
103	110	209
104	111	207
105	111	204
106	112	202
107	112	200
108	113	198
109	114	196
110	114	194
111	114	193
112	115	191
113	115	189
114	116	187
115	116	185
116	117	184
117	118	182
118	119	181
119	119	179
120	120	177
121	120	176
122	121	174
123	121	172
124	122	171
125	122	169
126	123	168
127	124	166
128	124	165
129	125	163
130	125	162
131	126	160
132	126	158
133	127	157
134	127	155
135	127	154
136	128	152
137	128	151
138	129	149
139	129	148
140	130	147
141	130	145
142	132	144
143	132	143
144	133	142
145	133	140
146	134	139
147	134	138
148	135	136
149	135	135
150	136	134
151	136	132
152	137	131
153	137	130
154	138	129
155	138	127
156	139	126
157	139	125
158	139	124
159	140	122
160	140	121
161	141	120
162	141	119
163	142	117
164	142	116
165	143	115
166	143	114
167	144	113
168	144	112
169	145	111
170	145	110
171	146	108
172	146	107
173	147	106
174	147	105
175	148	104
176	148	103
177	149	102
178	149	101
179	150	100
180	150	99
181	151	98
182	151	97
183	152	96
184	152	94
185	153	93
186	153	92
187	154	92
188	154	91
189	155	89
190	155	88
191	156	88
192	156	86
193	157	86
194	157	85
195	158	84
196	158	83
197	159	82
198	159	81
199	160	80
200	160	79
201	161	78
202	161	77
203	162	76
204	163	75
205	163	74
206	164	73
207	164	72
208	165	71
209	165	71
210	166	70
211	166	69
212	167	68
213	167	67
214	168	66
215	168	65
216	169	64
217	169	63
218	170	63
219	171	62
220	171	61
221	172	60
222	172	59
223	173	58
224	174	58
225	175	57
226	176	56
227	177	56
228	178	55
229	179	54
230	181	54
231	181	53
232	182	52
233	183	51
234	183	50
235	184	50
236	184	49
237	185	48
238	186	47
239	186	46
240	187	45
241	187	44
242	187	44
243	188	43
244	189	42
245	189	41
246	190	40
247	190	39
248	191	39
249	191	38
250	192	37
251	192	36
252	193	35
253	193	35
254	194	34
255	195	33
256	195	32
257	196	31
258	196	31
259	197	30
260	197	29
261	198	28
262	198	27
263	199	27
264	199	26
265	200	25
266	200	24
267	201	24
268	202	23
269	202	22
270	203	21
271	203	20
272	203	20
273	204	19
274	204	18
275	205	17
276	205	17
277	206	16
278	206	15
279	207	14
280	207	14
281	208	13
282	208	12
283	209	11
284	210	11
285	210	10
286	211	9
287	211	8
288	212	8
289	212	7
290	213	6
291	213	5
292	214	5
293	214	4
294	215	3
295	215	2
296	216	2
297	216	1
298	217	0
299	217	0
