product_id,name,color,category,price,available_sizes,stock_XS,stock_S,stock_M,stock_L,stock_XL,stock_XXL,stock_5,stock_6,stock_7,stock_8,stock_9,stock_10,stock_11,stock_12,stock_13,stock_One_Size
C_P001,T-Shirt,Blue,Clothing,55.48,"XS,S,M,L,XL,XXL",20.0,12.0,23.0,22.0,14.0,21.0,,,,,,,,,,
C_P002,T-Shirt,Red,Clothing,55.48,"XS,S,M,L,XL,XXL",9.0,25.0,5.0,4.0,24.0,10.0,,,,,,,,,,
C_P003,T-Shirt,White,Clothing,55.48,"XS,S,M,L,XL,XXL",12.0,5.0,10.0,6.0,15.0,11.0,,,,,,,,,,
C_P004,T-Shirt,Black,Clothing,55.48,"XS,S,M,L,XL,XXL",17.0,23.0,14.0,8.0,14.0,14.0,,,,,,,,,,
C_P005,T-Shirt,Green,Clothing,55.48,"XS,S,M,L,XL,XXL",9.0,24.0,11.0,25.0,24.0,23.0,,,,,,,,,,
C_P006,T-Shirt,Yellow,Clothing,55.48,"XS,S,M,L,XL,XXL",5.0,22.0,23.0,8.0,20.0,10.0,,,,,,,,,,
C_P007,T-Shirt,Pink,Clothing,55.48,"XS,S,M,L,XL,XXL",8.0,17.0,15.0,11.0,23.0,25.0,,,,,,,,,,
C_P008,T-Shirt,Purple,Clothing,55.48,"XS,S,M,L,XL,XXL",20.0,10.0,24.0,13.0,4.0,10.0,,,,,,,,,,
C_P009,T-Shirt,Gray,Clothing,55.48,"XS,S,M,L,XL,XXL",4.0,13.0,15.0,11.0,5.0,9.0,,,,,,,,,,
C_P010,T-Shirt,Orange,Clothing,55.48,"XS,S,M,L,XL,XXL",21.0,25.0,13.0,9.0,23.0,18.0,,,,,,,,,,
C_P011,Dress,Blue,Clothing,13.7,"XS,S,M,L,XL,XXL",15.0,23.0,17.0,7.0,11.0,7.0,,,,,,,,,,
C_P012,Dress,Red,Clothing,13.7,"XS,S,M,L,XL,XXL",10.0,20.0,20.0,11.0,21.0,16.0,,,,,,,,,,
C_P013,Dress,White,Clothing,13.7,"XS,S,M,L,XL,XXL",21.0,15.0,14.0,10.0,7.0,19.0,,,,,,,,,,
C_P014,Dress,Black,Clothing,13.7,"XS,S,M,L,XL,XXL",18.0,5.0,4.0,6.0,7.0,23.0,,,,,,,,,,
C_P015,Dress,Green,Clothing,13.7,"XS,S,M,L,XL,XXL",8.0,24.0,16.0,22.0,5.0,15.0,,,,,,,,,,
C_P016,Dress,Yellow,Clothing,13.7,"XS,S,M,L,XL,XXL",15.0,22.0,17.0,19.0,11.0,20.0,,,,,,,,,,
C_P017,Dress,Pink,Clothing,13.7,"XS,S,M,L,XL,XXL",3.0,24.0,6.0,24.0,20.0,11.0,,,,,,,,,,
C_P018,Dress,Purple,Clothing,13.7,"XS,S,M,L,XL,XXL",23.0,13.0,6.0,12.0,16.0,8.0,,,,,,,,,,
C_P019,Dress,Gray,Clothing,13.7,"XS,S,M,L,XL,XXL",17.0,3.0,11.0,19.0,8.0,19.0,,,,,,,,,,
C_P020,Dress,Orange,Clothing,13.7,"XS,S,M,L,XL,XXL",6.0,23.0,12.0,23.0,19.0,22.0,,,,,,,,,,
C_P021,Jeans,Blue,Clothing,30.7,"XS,S,M,L,XL,XXL",9.0,7.0,14.0,8.0,20.0,19.0,,,,,,,,,,
C_P022,Jeans,Red,Clothing,30.7,"XS,S,M,L,XL,XXL",3.0,22.0,13.0,18.0,3.0,6.0,,,,,,,,,,
C_P023,Jeans,White,Clothing,30.7,"XS,S,M,L,XL,XXL",14.0,12.0,10.0,4.0,10.0,21.0,,,,,,,,,,
C_P024,Jeans,Black,Clothing,30.7,"XS,S,M,L,XL,XXL",5.0,5.0,18.0,5.0,20.0,7.0,,,,,,,,,,
C_P025,Jeans,Green,Clothing,30.7,"XS,S,M,L,XL,XXL",7.0,24.0,18.0,20.0,8.0,11.0,,,,,,,,,,
C_P026,Jeans,Yellow,Clothing,30.7,"XS,S,M,L,XL,XXL",19.0,22.0,16.0,9.0,20.0,25.0,,,,,,,,,,
C_P027,Jeans,Pink,Clothing,30.7,"XS,S,M,L,XL,XXL",9.0,25.0,12.0,15.0,24.0,23.0,,,,,,,,,,
C_P028,Jeans,Purple,Clothing,30.7,"XS,S,M,L,XL,XXL",14.0,17.0,19.0,17.0,6.0,10.0,,,,,,,,,,
C_P029,Jeans,Gray,Clothing,30.7,"XS,S,M,L,XL,XXL",10.0,5.0,13.0,3.0,21.0,20.0,,,,,,,,,,
C_P030,Jeans,Orange,Clothing,30.7,"XS,S,M,L,XL,XXL",10.0,21.0,10.0,3.0,5.0,25.0,,,,,,,,,,
C_P031,Polo Shirt,Blue,Clothing,27.18,"XS,S,M,L,XL,XXL",23.0,4.0,10.0,5.0,4.0,13.0,,,,,,,,,,
C_P032,Polo Shirt,Red,Clothing,27.18,"XS,S,M,L,XL,XXL",5.0,19.0,10.0,11.0,24.0,18.0,,,,,,,,,,
C_P033,Polo Shirt,White,Clothing,27.18,"XS,S,M,L,XL,XXL",9.0,20.0,7.0,21.0,21.0,18.0,,,,,,,,,,
C_P034,Polo Shirt,Black,Clothing,27.18,"XS,S,M,L,XL,XXL",10.0,18.0,16.0,9.0,6.0,6.0,,,,,,,,,,
C_P035,Polo Shirt,Green,Clothing,27.18,"XS,S,M,L,XL,XXL",24.0,16.0,14.0,16.0,16.0,17.0,,,,,,,,,,
C_P036,Polo Shirt,Yellow,Clothing,27.18,"XS,S,M,L,XL,XXL",4.0,24.0,23.0,23.0,6.0,4.0,,,,,,,,,,
C_P037,Polo Shirt,Pink,Clothing,27.18,"XS,S,M,L,XL,XXL",15.0,13.0,6.0,10.0,9.0,9.0,,,,,,,,,,
C_P038,Polo Shirt,Purple,Clothing,27.18,"XS,S,M,L,XL,XXL",20.0,17.0,7.0,16.0,8.0,11.0,,,,,,,,,,
C_P039,Polo Shirt,Gray,Clothing,27.18,"XS,S,M,L,XL,XXL",17.0,10.0,5.0,17.0,20.0,6.0,,,,,,,,,,
C_P040,Polo Shirt,Orange,Clothing,27.18,"XS,S,M,L,XL,XXL",4.0,23.0,20.0,3.0,5.0,10.0,,,,,,,,,,
C_P041,Sweater,Blue,Clothing,62.08,"XS,S,M,L,XL,XXL",8.0,16.0,18.0,18.0,9.0,15.0,,,,,,,,,,
C_P042,Sweater,Red,Clothing,62.08,"XS,S,M,L,XL,XXL",4.0,8.0,15.0,3.0,15.0,11.0,,,,,,,,,,
C_P043,Sweater,White,Clothing,62.08,"XS,S,M,L,XL,XXL",17.0,12.0,16.0,25.0,20.0,24.0,,,,,,,,,,
C_P044,Sweater,Black,Clothing,62.08,"XS,S,M,L,XL,XXL",25.0,18.0,7.0,9.0,12.0,9.0,,,,,,,,,,
C_P045,Sweater,Green,Clothing,62.08,"XS,S,M,L,XL,XXL",4.0,21.0,20.0,4.0,13.0,4.0,,,,,,,,,,
C_P046,Sweater,Yellow,Clothing,62.08,"XS,S,M,L,XL,XXL",4.0,21.0,18.0,19.0,19.0,8.0,,,,,,,,,,
C_P047,Sweater,Pink,Clothing,62.08,"XS,S,M,L,XL,XXL",4.0,19.0,5.0,8.0,5.0,22.0,,,,,,,,,,
C_P048,Sweater,Purple,Clothing,62.08,"XS,S,M,L,XL,XXL",5.0,24.0,10.0,15.0,6.0,21.0,,,,,,,,,,
C_P049,Sweater,Gray,Clothing,62.08,"XS,S,M,L,XL,XXL",10.0,21.0,22.0,4.0,22.0,5.0,,,,,,,,,,
C_P050,Sweater,Orange,Clothing,62.08,"XS,S,M,L,XL,XXL",16.0,24.0,21.0,21.0,19.0,13.0,,,,,,,,,,
C_P051,Hoodie,Blue,Clothing,58.02,"XS,S,M,L,XL,XXL",11.0,9.0,24.0,25.0,13.0,10.0,,,,,,,,,,
C_P052,Hoodie,Red,Clothing,58.02,"XS,S,M,L,XL,XXL",11.0,15.0,7.0,24.0,23.0,12.0,,,,,,,,,,
